TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68386,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1428177,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42761,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",930937,0,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69635,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",572553,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41406,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",789531,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",37812,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",417760,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39323,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",656302,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",83855,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",644791,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60105,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",397500,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38645,0,0,0,True
